year,month,crop_name,region,inflation_index,price_per_kg,lag_1m,lag_3m,lag_6m,lag_12m,rolling_3m_avg
2015,1,Barley (mixed),Addis Ababa,0.2882,14.88,,,,,
2015,2,Barley (mixed),Addis Ababa,0.2905,16.08,14.88,,,,14.88
2015,3,Barley (mixed),Addis Ababa,0.2929,16.22,16.08,,,,15.48
2015,4,Barley (mixed),Addis Ababa,0.2952,17.31,16.22,14.88,,,15.73
2015,5,Barley (mixed),Addis Ababa,0.2976,16.88,17.31,16.08,,,16.54
2015,6,Barley (mixed),Addis Ababa,0.3,17.2,16.88,16.22,,,16.8
2015,7,Barley (mixed),Addis Ababa,0.3024,15.84,17.2,17.31,14.88,,17.13
2015,8,Barley (mixed),Addis Ababa,0.3049,16.31,15.84,16.88,16.08,,16.64
2015,9,Barley (mixed),Addis Ababa,0.3073,15.8,16.31,17.2,16.22,,16.45
2015,10,Barley (mixed),Addis Ababa,0.3098,13.49,15.8,15.84,17.31,,15.98
2015,11,Barley (mixed),Addis Ababa,0.3123,13.47,13.49,16.31,16.88,,15.2
2015,12,Barley (mixed),Addis Ababa,0.3148,13.78,13.47,15.8,17.2,,14.25
2016,1,Barley (mixed),Addis Ababa,0.3166,16.51,13.78,13.49,15.84,14.88,13.58
2016,2,Barley (mixed),Addis Ababa,0.3185,17.35,16.51,13.47,16.31,16.08,14.59
2016,3,Barley (mixed),Addis Ababa,0.3204,17.49,17.35,13.78,15.8,16.22,15.88
2016,4,Barley (mixed),Addis Ababa,0.3223,18.38,17.49,16.51,13.49,17.31,17.12
2016,5,Barley (mixed),Addis Ababa,0.3242,19.7,18.38,17.35,13.47,16.88,17.74
2016,6,Barley (mixed),Addis Ababa,0.3261,19.39,19.7,17.49,13.78,17.2,18.52
2016,7,Barley (mixed),Addis Ababa,0.328,19.03,19.39,18.38,16.51,15.84,19.16
2016,8,Barley (mixed),Addis Ababa,0.3299,19.0,19.03,19.7,17.35,16.31,19.37
